product_title,brand,manufacturer,category,breadcrumbs,product_type,product_url,sku,article_number,model,ean_gtin,short_description,description,technical_data,specifications,power,watt,kW,kWh,voltage,current,dimensions,weight,warranty,price,currency,availability,stock_status,image_urls,variants,accessories,related_products,meta_title,meta_description,language,source_status,notes
TRI-STAND Tellerkopfschraube 6.0x120 TX25,,,,,,https://shop.tritec-energy.com/de/tri-stand-tellerkopfschraube-6-0x120-tx25-p2989/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/238184_tri-stand_tellerkopfschraube.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/999420_tks_6x120.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/238184_tri-stand_tellerkopfschraube.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/999420_tks_6x120.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,TRITEC TRI-STAND Tellerkopfschraube 6.0x120 TX25 - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
"Fronius Smart Meter IP, 3-phasig 230/400V",,,,,,https://shop.tritec-energy.com/de/fronius-smart-meter-ip-3-phasig-230-400v-p2990/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/754308_fronius_smart_meter_ip.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/754308_fronius_smart_meter_ip.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/595013_fronius_stromwandler_ct_v.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/463514_fronius_stromwandler_ct_v.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/427821_fronius_stromwandler_ct_v.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"FRONIUS Fronius Smart Meter IP, 3-phasig 230/400V - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
Fronius Stromwandler CT V 400A/333mV,,,,,,https://shop.tritec-energy.com/de/fronius-stromwandler-ct-v-400a-333mv-p2991/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/595013_fronius_stromwandler_ct_v.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/595013_fronius_stromwandler_ct_v.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/754308_fronius_smart_meter_ip.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,FRONIUS Fronius Stromwandler CT V 400A/333mV - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
"TRI-STAND SafeClick+ , inkl. EPDM-Dichtungsgummi",,,,,,https://shop.tritec-energy.com/de/tri-fast-safeclick2b-inkl-epdm-dichtungsgummi-p2999/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/657949_tritec_tri-fast_safe-click_6mm-bohrung-500x500.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/657949_tritec_tri-fast_safe-click_6mm-bohrung-500x500.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/768499_tri-stand_duennblechschraube-6x25-ds-500x500.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRI-STAND SafeClick+ , inkl. EPDM-Dichtungsgummi - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-ausgleichsscheibe-40x50-mm-staerke-5mm-p3004/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-distanzstueck-up-d-6-mm-p3005/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
"TIGO Optimierer TS4-A-O 700W, MC4, IP68",,,,,,https://shop.tritec-energy.com/de/tigo-optimierer-ts4-a-o-700w-mc4-ip68-p3007/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/626926_tigo_ts4-a-o-optimierung-neu.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/626926_tigo_ts4-a-o-optimierung-neu.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TIGO TIGO Optimierer TS4-A-O 700W, MC4, IP68 - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
TIGO CCA-Kit Cloud Connect Advanced,,,,,,https://shop.tritec-energy.com/de/tigo-cca-kit-cloud-connect-advanced-p3008/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/155005_tigo_cca-kit.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/155005_tigo_cca-kit.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,TIGO TIGO CCA-Kit Cloud Connect Advanced - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
"Flächentemperatursensor PT1000, 3m mit Prägung",,,,,,https://shop.tritec-energy.com/de/flaechentemperatursensor-pt1000-3m-mit-praegung-p3010/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/885900_flaechentemperatursensor_pt1000.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/885900_flaechentemperatursensor_pt1000.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC Flächentemperatursensor PT1000, 3m mit Prägung - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"Spektron 210, ohne Verpackung",,,,,,https://shop.tritec-energy.com/de/spektron-210-ohne-verpackung-p3011/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/538046_tritec-spektron-210-silicon-sensors-400x400.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/538046_tritec-spektron-210-silicon-sensors-400x400.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC Spektron 210, ohne Verpackung - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
Außentemperatursensor PT1000,,,,,,https://shop.tritec-energy.com/de/aussentemperatursensor-pt1000-p3012/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/171741_aussentemperatursensor_pt1000.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/171741_aussentemperatursensor_pt1000.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,TRITEC Außentemperatursensor PT1000 - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
"Spektron 320, Einstrahlungssensor 0 - 1500W/m², Glas-Solarzelle",,,,,,https://shop.tritec-energy.com/de/spektron-320-einstrahlungssensor-0-1500w-mc2b2-glas-solarzelle-p3013/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/608908_spektron_320.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/608908_spektron_320.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC Spektron 320, Einstrahlungssensor 0 - 1500W/m², Glas-Solarzelle - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-erdungskralle-fuer-safeclick-sc-ts-p3014/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
TRI-STAND Gleitmutter M8,,,,,,https://shop.tritec-energy.com/de/tri-stand-gleitmutter-m8-p3015/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/610545_tri-stand_gleitmutter-m8-500x500.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/610545_tri-stand_gleitmutter-m8-500x500.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,TRITEC TRI-STAND Gleitmutter M8 - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-hammerkopfschraube-m10-x-20-a2-p3016/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/tri-stand-universalprofil-up-l-plus-3-25m-p3017/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
"S-5! Winkelfalzklemme Typ S, Nutbreite 14mm",,,,,,https://shop.tritec-energy.com/de/s-5-doppelstehfalz-klemme-typ-s-falzstaerke-8-14mm-p3020/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/558549_1502082_s-5_winkelfalzklemme_typ_s_nutbreite_14mm.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/558549_1502082_s-5_winkelfalzklemme_typ_s_nutbreite_14mm.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"S-5! Winkelfalzklemme Typ S, Nutbreite 14mm - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"TRI-STAND Mittelklemme (31 - 40 mm), Alu blank",,,,,,https://shop.tritec-energy.com/de/tri-stand-mittelklemme-31-40-mm-alu-blank-p3021/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/101490_tri-stand_mittelklemme_alt_blank.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/101490_tri-stand_mittelklemme_alt_blank.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC TRI-STAND Mittelklemme (31 - 40 mm), Alu blank - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"TRI-STAND Mittelklemme (31 - 40 mm), schwarz",,,,,,https://shop.tritec-energy.com/de/tri-stand-mittelklemme-31-40-mm-schwarz-p3022/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/450189_tri-stand_mittelklemme_alt_schwarz.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/450189_tri-stand_mittelklemme_alt_schwarz.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"TRITEC TRI-STAND Mittelklemme (31 - 40 mm), schwarz - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
